property 1	property 2	implies	allen 1	allen 2	allen result
later than	later than	later than	OMP	OMP	OMP
later than	starts during	starts during or after	OMP	dfO	dfOMP
later than	during which starts	ends after start of	OMP	oFD	oFDseSdfOMP
later than	ends during	ends after start of	OMP	osd	oFDseSdfOMP
later than	earlier than	temporally related to	OMP	pmo	pmoFDseSdfOMP
later than	starts with	starts during or after	OMP	seS	dfOMP
later than	ends after	ends after	OMP	DSOMP	DSOMP
later than	starts during or after	starts during or after	OMP	dfOMP	dfOMP
later than	starts before	temporally related to	OMP	pmoFD	pmoFDseSdfOMP
later than	ends during or before	temporally related to	OMP	pmosd	pmoFDseSdfOMP
later than	temporally overlaps	ends after start of	OMP	oFDseSdfO	oFDseSdfOMP
later than	ends after start of	ends after start of	OMP	oFDseSdfOMP	oFDseSdfOMP
later than	starts before end of	temporally related to	OMP	pmoFDseSdfO	pmoFDseSdfOMP
later than	temporally related to	temporally related to	OMP	pmoFDseSdfOMP	pmoFDseSdfOMP
starts during	encompasses	temporally related to	dfO	D	pmoFDseSdfOMP
starts during	ends with and starts before	starts before end of	dfO	F	pmoFDseSdfO
starts during	immediately preceded by	strictly preceded by	dfO	M	P
starts during	starts during and ends after	starts during or after	dfO	O	dfOMP
starts during	strictly preceded by	strictly preceded by	dfO	P	P
starts during	starts with and ends after	starts during or after	dfO	S	dfOMP
starts during	happens during	starts during	dfO	d	dfO
starts during	temporally coincides with	starts during	dfO	e	dfO
starts during	ends with and starts after	starts during	dfO	f	dfO
starts during	immediately precedes	starts before	dfO	m	pmoFD
starts during	starts before and ends during	starts before end of	dfO	o	pmoFDseSdfO
starts during	strictly precedes	starts before	dfO	p	pmoFD
starts during	starts with and ends before	starts during	dfO	s	dfO
starts during	during which ends	temporally related to	dfO	DSO	pmoFDseSdfOMP
starts during	ends with	starts before end of	dfO	Fef	pmoFDseSdfO
starts during	later than	starts during or after	dfO	OMP	dfOMP
starts during	starts during	starts during or after	dfO	dfO	dfOMP
starts during	during which starts	temporally related to	dfO	oFD	pmoFDseSdfOMP
starts during	ends during	starts before end of	dfO	osd	pmoFDseSdfO
starts during	earlier than	starts before end of	dfO	pmo	pmoFDseSdfO
starts during	starts with	starts during or after	dfO	seS	dfOMP
starts during	ends after	temporally related to	dfO	DSOMP	pmoFDseSdfOMP
starts during	starts during or after	starts during or after	dfO	dfOMP	dfOMP
starts during	starts before	temporally related to	dfO	pmoFD	pmoFDseSdfOMP
starts during	ends during or before	starts before end of	dfO	pmosd	pmoFDseSdfO
starts during	temporally overlaps	temporally related to	dfO	oFDseSdfO	pmoFDseSdfOMP
starts during	ends after start of	temporally related to	dfO	oFDseSdfOMP	pmoFDseSdfOMP
starts during	starts before end of	temporally related to	dfO	pmoFDseSdfO	pmoFDseSdfOMP
starts during	temporally related to	temporally related to	dfO	pmoFDseSdfOMP	pmoFDseSdfOMP
during which starts	encompasses	starts before	oFD	D	pmoFD
during which starts	ends with and starts before	starts before	oFD	F	pmoFD
during which starts	immediately preceded by	during which ends	oFD	M	DSO
during which starts	starts during and ends after	temporally overlaps	oFD	O	oFDseSdfO
during which starts	strictly preceded by	ends after	oFD	P	DSOMP
during which starts	starts with and ends after	during which starts	oFD	S	oFD
during which starts	happens during	temporally overlaps	oFD	d	oFDseSdfO
during which starts	temporally coincides with	during which starts	oFD	e	oFD
during which starts	ends with and starts after	temporally overlaps	oFD	f	oFDseSdfO
during which starts	immediately precedes	starts before	oFD	m	pmoFD
during which starts	starts before and ends during	starts before	oFD	o	pmoFD
during which starts	strictly precedes	starts before	oFD	p	pmoFD
during which starts	starts with and ends before	during which starts	oFD	s	oFD
during which starts	during which ends	starts before end of	oFD	DSO	pmoFDseSdfO
during which starts	ends with	starts before end of	oFD	Fef	pmoFDseSdfO
during which starts	later than	ends after start of	oFD	OMP	oFDseSdfOMP
during which starts	starts during	temporally overlaps	oFD	dfO	oFDseSdfO
during which starts	during which starts	starts before	oFD	oFD	pmoFD
during which starts	ends during	starts before end of	oFD	osd	pmoFDseSdfO
during which starts	earlier than	starts before	oFD	pmo	pmoFD
during which starts	starts with	during which starts	oFD	seS	oFD
during which starts	ends after	temporally related to	oFD	DSOMP	pmoFDseSdfOMP
during which starts	starts during or after	ends after start of	oFD	dfOMP	oFDseSdfOMP
during which starts	starts before	starts before	oFD	pmoFD	pmoFD
during which starts	ends during or before	starts before end of	oFD	pmosd	pmoFDseSdfO
during which starts	temporally overlaps	starts before end of	oFD	oFDseSdfO	pmoFDseSdfO
during which starts	ends after start of	temporally related to	oFD	oFDseSdfOMP	pmoFDseSdfOMP
during which starts	starts before end of	starts before end of	oFD	pmoFDseSdfO	pmoFDseSdfO
during which starts	temporally related to	temporally related to	oFD	pmoFDseSdfOMP	pmoFDseSdfOMP
ends during	encompasses	temporally related to	osd	D	pmoFDseSdfOMP
ends during	ends with and starts before	ends during or before	osd	F	pmosd
ends during	immediately preceded by	ends after	osd	M	DSOMP
ends during	starts during and ends after	ends after start of	osd	O	oFDseSdfOMP
ends during	strictly preceded by	ends after	osd	P	DSOMP
ends during	starts with and ends after	ends after start of	osd	S	oFDseSdfOMP
ends during	happens during	ends during	osd	d	osd
ends during	temporally coincides with	ends during	osd	e	osd
ends during	ends with and starts after	ends during	osd	f	osd
ends during	immediately precedes	strictly precedes	osd	m	p
ends during	starts before and ends during	ends during or before	osd	o	pmosd
ends during	strictly precedes	strictly precedes	osd	p	p
ends during	starts with and ends before	ends during	osd	s	osd
ends during	during which ends	temporally related to	osd	DSO	pmoFDseSdfOMP
ends during	ends with	ends during or before	osd	Fef	pmosd
ends during	later than	ends after start of	osd	OMP	oFDseSdfOMP
ends during	starts during	ends after start of	osd	dfO	oFDseSdfOMP
ends during	during which starts	temporally related to	osd	oFD	pmoFDseSdfOMP
ends during	ends during	ends during or before	osd	osd	pmosd
ends during	earlier than	ends during or before	osd	pmo	pmosd
ends during	starts with	ends after start of	osd	seS	oFDseSdfOMP
ends during	ends after	temporally related to	osd	DSOMP	pmoFDseSdfOMP
ends during	starts during or after	ends after start of	osd	dfOMP	oFDseSdfOMP
ends during	starts before	temporally related to	osd	pmoFD	pmoFDseSdfOMP
ends during	ends during or before	ends during or before	osd	pmosd	pmosd
ends during	temporally overlaps	temporally related to	osd	oFDseSdfO	pmoFDseSdfOMP
ends during	ends after start of	temporally related to	osd	oFDseSdfOMP	pmoFDseSdfOMP
ends during	starts before end of	temporally related to	osd	pmoFDseSdfO	pmoFDseSdfOMP
ends during	temporally related to	temporally related to	osd	pmoFDseSdfOMP	pmoFDseSdfOMP
earlier than	encompasses	starts before	pmo	D	pmoFD
earlier than	ends with and starts before	earlier than	pmo	F	pmo
earlier than	immediately preceded by	starts before end of	pmo	M	pmoFDseSdfO
earlier than	starts during and ends after	starts before end of	pmo	O	pmoFDseSdfO
earlier than	strictly preceded by	temporally related to	pmo	P	pmoFDseSdfOMP
earlier than	starts with and ends after	starts before	pmo	S	pmoFD
earlier than	happens during	ends during or before	pmo	d	pmosd
earlier than	temporally coincides with	earlier than	pmo	e	pmo
earlier than	ends with and starts after	ends during or before	pmo	f	pmosd
earlier than	immediately precedes	strictly precedes	pmo	m	p
earlier than	starts before and ends during	earlier than	pmo	o	pmo
earlier than	strictly precedes	strictly precedes	pmo	p	p
earlier than	starts with and ends before	earlier than	pmo	s	pmo
earlier than	during which ends	starts before end of	pmo	DSO	pmoFDseSdfO
earlier than	ends with	ends during or before	pmo	Fef	pmosd
earlier than	later than	temporally related to	pmo	OMP	pmoFDseSdfOMP
earlier than	starts during	starts before end of	pmo	dfO	pmoFDseSdfO
earlier than	during which starts	starts before	pmo	oFD	pmoFD
earlier than	ends during	ends during or before	pmo	osd	pmosd
earlier than	earlier than	earlier than	pmo	pmo	pmo
earlier than	starts with	starts before	pmo	seS	pmoFD
earlier than	ends after	temporally related to	pmo	DSOMP	pmoFDseSdfOMP
earlier than	starts during or after	temporally related to	pmo	dfOMP	pmoFDseSdfOMP
earlier than	starts before	starts before	pmo	pmoFD	pmoFD
earlier than	ends during or before	ends during or before	pmo	pmosd	pmosd
earlier than	temporally overlaps	starts before end of	pmo	oFDseSdfO	pmoFDseSdfO
earlier than	ends after start of	temporally related to	pmo	oFDseSdfOMP	pmoFDseSdfOMP
earlier than	starts before end of	starts before end of	pmo	pmoFDseSdfO	pmoFDseSdfO
earlier than	temporally related to	temporally related to	pmo	pmoFDseSdfOMP	pmoFDseSdfOMP
starts with	encompasses	starts before	seS	D	pmoFD
starts with	ends with and starts before	starts before	seS	F	pmoFD
starts with	immediately preceded by	immediately preceded by	seS	M	M
starts with	starts during and ends after	starts during	seS	O	dfO
starts with	strictly preceded by	strictly preceded by	seS	P	P
starts with	starts with and ends after	starts with	seS	S	seS
starts with	happens during	starts during	seS	d	dfO
starts with	temporally coincides with	starts with	seS	e	seS
starts with	ends with and starts after	starts during	seS	f	dfO
starts with	immediately precedes	starts before	seS	m	pmoFD
starts with	starts before and ends during	starts before	seS	o	pmoFD
starts with	strictly precedes	starts before	seS	p	pmoFD
starts with	starts with and ends before	starts with	seS	s	seS
starts with	during which ends	starts before end of	seS	DSO	pmoFDseSdfO
starts with	ends with	starts before end of	seS	Fef	pmoFDseSdfO
starts with	later than	starts during or after	seS	OMP	dfOMP
starts with	starts during	starts during	seS	dfO	dfO
starts with	during which starts	starts before	seS	oFD	pmoFD
starts with	ends during	starts before end of	seS	osd	pmoFDseSdfO
starts with	earlier than	starts before	seS	pmo	pmoFD
starts with	starts with	starts with	seS	seS	seS
starts with	ends after	temporally related to	seS	DSOMP	pmoFDseSdfOMP
starts with	starts during or after	starts during or after	seS	dfOMP	dfOMP
starts with	starts before	starts before	seS	pmoFD	pmoFD
starts with	ends during or before	starts before end of	seS	pmosd	pmoFDseSdfO
starts with	temporally overlaps	starts before end of	seS	oFDseSdfO	pmoFDseSdfO
starts with	ends after start of	temporally related to	seS	oFDseSdfOMP	pmoFDseSdfOMP
starts with	starts before end of	starts before end of	seS	pmoFDseSdfO	pmoFDseSdfO
starts with	temporally related to	temporally related to	seS	pmoFDseSdfOMP	pmoFDseSdfOMP
ends after	encompasses	ends after	DSOMP	D	DSOMP
ends after	ends with and starts before	ends after	DSOMP	F	DSOMP
ends after	immediately preceded by	ends after	DSOMP	M	DSOMP
ends after	starts during and ends after	ends after	DSOMP	O	DSOMP
ends after	strictly preceded by	ends after	DSOMP	P	DSOMP
ends after	starts with and ends after	ends after	DSOMP	S	DSOMP
ends after	happens during	ends after start of	DSOMP	d	oFDseSdfOMP
ends after	temporally coincides with	ends after	DSOMP	e	DSOMP
ends after	ends with and starts after	ends after	DSOMP	f	DSOMP
ends after	immediately precedes	ends after start of	DSOMP	m	oFDseSdfOMP
ends after	starts before and ends during	ends after start of	DSOMP	o	oFDseSdfOMP
ends after	strictly precedes	temporally related to	DSOMP	p	pmoFDseSdfOMP
ends after	starts with and ends before	ends after start of	DSOMP	s	oFDseSdfOMP
ends after	during which ends	ends after	DSOMP	DSO	DSOMP
ends after	ends with	ends after	DSOMP	Fef	DSOMP
ends after	later than	ends after	DSOMP	OMP	DSOMP
ends after	starts during	ends after start of	DSOMP	dfO	oFDseSdfOMP
ends after	during which starts	ends after start of	DSOMP	oFD	oFDseSdfOMP
ends after	ends during	ends after start of	DSOMP	osd	oFDseSdfOMP
ends after	earlier than	temporally related to	DSOMP	pmo	pmoFDseSdfOMP
ends after	starts with	ends after start of	DSOMP	seS	oFDseSdfOMP
ends after	ends after	ends after	DSOMP	DSOMP	DSOMP
ends after	starts during or after	ends after start of	DSOMP	dfOMP	oFDseSdfOMP
ends after	starts before	temporally related to	DSOMP	pmoFD	pmoFDseSdfOMP
ends after	ends during or before	temporally related to	DSOMP	pmosd	pmoFDseSdfOMP
ends after	temporally overlaps	ends after start of	DSOMP	oFDseSdfO	oFDseSdfOMP
ends after	ends after start of	ends after start of	DSOMP	oFDseSdfOMP	oFDseSdfOMP
ends after	starts before end of	temporally related to	DSOMP	pmoFDseSdfO	pmoFDseSdfOMP
ends after	temporally related to	temporally related to	DSOMP	pmoFDseSdfOMP	pmoFDseSdfOMP
starts during or after	encompasses	temporally related to	dfOMP	D	pmoFDseSdfOMP
starts during or after	ends with and starts before	temporally related to	dfOMP	F	pmoFDseSdfOMP
starts during or after	immediately preceded by	strictly preceded by	dfOMP	M	P
starts during or after	starts during and ends after	starts during or after	dfOMP	O	dfOMP
starts during or after	strictly preceded by	strictly preceded by	dfOMP	P	P
starts during or after	starts with and ends after	starts during or after	dfOMP	S	dfOMP
starts during or after	happens during	starts during or after	dfOMP	d	dfOMP
starts during or after	temporally coincides with	starts during or after	dfOMP	e	dfOMP
starts during or after	ends with and starts after	starts during or after	dfOMP	f	dfOMP
starts during or after	immediately precedes	temporally related to	dfOMP	m	pmoFDseSdfOMP
starts during or after	starts before and ends during	temporally related to	dfOMP	o	pmoFDseSdfOMP
starts during or after	strictly precedes	temporally related to	dfOMP	p	pmoFDseSdfOMP
starts during or after	starts with and ends before	starts during or after	dfOMP	s	dfOMP
starts during or after	during which ends	temporally related to	dfOMP	DSO	pmoFDseSdfOMP
starts during or after	ends with	temporally related to	dfOMP	Fef	pmoFDseSdfOMP
starts during or after	later than	starts during or after	dfOMP	OMP	dfOMP
starts during or after	starts during	starts during or after	dfOMP	dfO	dfOMP
starts during or after	during which starts	temporally related to	dfOMP	oFD	pmoFDseSdfOMP
starts during or after	ends during	temporally related to	dfOMP	osd	pmoFDseSdfOMP
starts during or after	earlier than	temporally related to	dfOMP	pmo	pmoFDseSdfOMP
starts during or after	starts with	starts during or after	dfOMP	seS	dfOMP
starts during or after	ends after	temporally related to	dfOMP	DSOMP	pmoFDseSdfOMP
starts during or after	starts during or after	starts during or after	dfOMP	dfOMP	dfOMP
starts during or after	starts before	temporally related to	dfOMP	pmoFD	pmoFDseSdfOMP
starts during or after	ends during or before	temporally related to	dfOMP	pmosd	pmoFDseSdfOMP
starts during or after	temporally overlaps	temporally related to	dfOMP	oFDseSdfO	pmoFDseSdfOMP
starts during or after	ends after start of	temporally related to	dfOMP	oFDseSdfOMP	pmoFDseSdfOMP
starts during or after	starts before end of	temporally related to	dfOMP	pmoFDseSdfO	pmoFDseSdfOMP
starts during or after	temporally related to	temporally related to	dfOMP	pmoFDseSdfOMP	pmoFDseSdfOMP
starts before	encompasses	starts before	pmoFD	D	pmoFD
starts before	ends with and starts before	starts before	pmoFD	F	pmoFD
starts before	immediately preceded by	starts before end of	pmoFD	M	pmoFDseSdfO
starts before	starts during and ends after	starts before end of	pmoFD	O	pmoFDseSdfO
starts before	strictly preceded by	temporally related to	pmoFD	P	pmoFDseSdfOMP
starts before	starts with and ends after	starts before	pmoFD	S	pmoFD
starts before	happens during	starts before end of	pmoFD	d	pmoFDseSdfO
starts before	temporally coincides with	starts before	pmoFD	e	pmoFD
starts before	ends with and starts after	starts before end of	pmoFD	f	pmoFDseSdfO
starts before	immediately precedes	starts before	pmoFD	m	pmoFD
starts before	starts before and ends during	starts before	pmoFD	o	pmoFD
starts before	strictly precedes	starts before	pmoFD	p	pmoFD
starts before	starts with and ends before	starts before	pmoFD	s	pmoFD
starts before	during which ends	starts before end of	pmoFD	DSO	pmoFDseSdfO
starts before	ends with	starts before end of	pmoFD	Fef	pmoFDseSdfO
starts before	later than	temporally related to	pmoFD	OMP	pmoFDseSdfOMP
starts before	starts during	starts before end of	pmoFD	dfO	pmoFDseSdfO
starts before	during which starts	starts before	pmoFD	oFD	pmoFD
starts before	ends during	starts before end of	pmoFD	osd	pmoFDseSdfO
starts before	earlier than	starts before	pmoFD	pmo	pmoFD
starts before	starts with	starts before	pmoFD	seS	pmoFD
starts before	ends after	temporally related to	pmoFD	DSOMP	pmoFDseSdfOMP
starts before	starts during or after	temporally related to	pmoFD	dfOMP	pmoFDseSdfOMP
starts before	starts before	starts before	pmoFD	pmoFD	pmoFD
starts before	ends during or before	starts before end of	pmoFD	pmosd	pmoFDseSdfO
starts before	temporally overlaps	starts before end of	pmoFD	oFDseSdfO	pmoFDseSdfO
starts before	ends after start of	temporally related to	pmoFD	oFDseSdfOMP	pmoFDseSdfOMP
starts before	starts before end of	starts before end of	pmoFD	pmoFDseSdfO	pmoFDseSdfO
starts before	temporally related to	temporally related to	pmoFD	pmoFDseSdfOMP	pmoFDseSdfOMP
ends during or before	encompasses	temporally related to	pmosd	D	pmoFDseSdfOMP
ends during or before	ends with and starts before	ends during or before	pmosd	F	pmosd
ends during or before	immediately preceded by	temporally related to	pmosd	M	pmoFDseSdfOMP
ends during or before	starts during and ends after	temporally related to	pmosd	O	pmoFDseSdfOMP
ends during or before	strictly preceded by	temporally related to	pmosd	P	pmoFDseSdfOMP
ends during or before	starts with and ends after	temporally related to	pmosd	S	pmoFDseSdfOMP
ends during or before	happens during	ends during or before	pmosd	d	pmosd
ends during or before	temporally coincides with	ends during or before	pmosd	e	pmosd
ends during or before	ends with and starts after	ends during or before	pmosd	f	pmosd
ends during or before	immediately precedes	strictly precedes	pmosd	m	p
ends during or before	starts before and ends during	ends during or before	pmosd	o	pmosd
ends during or before	strictly precedes	strictly precedes	pmosd	p	p
ends during or before	starts with and ends before	ends during or before	pmosd	s	pmosd
ends during or before	during which ends	temporally related to	pmosd	DSO	pmoFDseSdfOMP
ends during or before	ends with	ends during or before	pmosd	Fef	pmosd
ends during or before	later than	temporally related to	pmosd	OMP	pmoFDseSdfOMP
ends during or before	starts during	temporally related to	pmosd	dfO	pmoFDseSdfOMP
ends during or before	during which starts	temporally related to	pmosd	oFD	pmoFDseSdfOMP
ends during or before	ends during	ends during or before	pmosd	osd	pmosd
ends during or before	earlier than	ends during or before	pmosd	pmo	pmosd
ends during or before	starts with	temporally related to	pmosd	seS	pmoFDseSdfOMP
ends during or before	ends after	temporally related to	pmosd	DSOMP	pmoFDseSdfOMP
ends during or before	starts during or after	temporally related to	pmosd	dfOMP	pmoFDseSdfOMP
ends during or before	starts before	temporally related to	pmosd	pmoFD	pmoFDseSdfOMP
ends during or before	ends during or before	ends during or before	pmosd	pmosd	pmosd
ends during or before	temporally overlaps	temporally related to	pmosd	oFDseSdfO	pmoFDseSdfOMP
ends during or before	ends after start of	temporally related to	pmosd	oFDseSdfOMP	pmoFDseSdfOMP
ends during or before	starts before end of	temporally related to	pmosd	pmoFDseSdfO	pmoFDseSdfOMP
ends during or before	temporally related to	temporally related to	pmosd	pmoFDseSdfOMP	pmoFDseSdfOMP
temporally overlaps	encompasses	temporally related to	oFDseSdfO	D	pmoFDseSdfOMP
temporally overlaps	ends with and starts before	starts before end of	oFDseSdfO	F	pmoFDseSdfO
temporally overlaps	immediately preceded by	ends after	oFDseSdfO	M	DSOMP
temporally overlaps	starts during and ends after	ends after start of	oFDseSdfO	O	oFDseSdfOMP
temporally overlaps	strictly preceded by	ends after	oFDseSdfO	P	DSOMP
temporally overlaps	starts with and ends after	ends after start of	oFDseSdfO	S	oFDseSdfOMP
temporally overlaps	happens during	temporally overlaps	oFDseSdfO	d	oFDseSdfO
temporally overlaps	temporally coincides with	temporally overlaps	oFDseSdfO	e	oFDseSdfO
temporally overlaps	ends with and starts after	temporally overlaps	oFDseSdfO	f	oFDseSdfO
temporally overlaps	immediately precedes	starts before	oFDseSdfO	m	pmoFD
temporally overlaps	starts before and ends during	starts before end of	oFDseSdfO	o	pmoFDseSdfO
temporally overlaps	strictly precedes	starts before	oFDseSdfO	p	pmoFD
temporally overlaps	starts with and ends before	temporally overlaps	oFDseSdfO	s	oFDseSdfO
temporally overlaps	during which ends	temporally related to	oFDseSdfO	DSO	pmoFDseSdfOMP
temporally overlaps	ends with	starts before end of	oFDseSdfO	Fef	pmoFDseSdfO
temporally overlaps	later than	ends after start of	oFDseSdfO	OMP	oFDseSdfOMP
temporally overlaps	starts during	ends after start of	oFDseSdfO	dfO	oFDseSdfOMP
temporally overlaps	during which starts	temporally related to	oFDseSdfO	oFD	pmoFDseSdfOMP
temporally overlaps	ends during	starts before end of	oFDseSdfO	osd	pmoFDseSdfO
temporally overlaps	earlier than	starts before end of	oFDseSdfO	pmo	pmoFDseSdfO
temporally overlaps	starts with	ends after start of	oFDseSdfO	seS	oFDseSdfOMP
temporally overlaps	ends after	temporally related to	oFDseSdfO	DSOMP	pmoFDseSdfOMP
temporally overlaps	starts during or after	ends after start of	oFDseSdfO	dfOMP	oFDseSdfOMP
temporally overlaps	starts before	temporally related to	oFDseSdfO	pmoFD	pmoFDseSdfOMP
temporally overlaps	ends during or before	starts before end of	oFDseSdfO	pmosd	pmoFDseSdfO
temporally overlaps	temporally overlaps	temporally related to	oFDseSdfO	oFDseSdfO	pmoFDseSdfOMP
temporally overlaps	ends after start of	temporally related to	oFDseSdfO	oFDseSdfOMP	pmoFDseSdfOMP
temporally overlaps	starts before end of	temporally related to	oFDseSdfO	pmoFDseSdfO	pmoFDseSdfOMP
temporally overlaps	temporally related to	temporally related to	oFDseSdfO	pmoFDseSdfOMP	pmoFDseSdfOMP
ends after start of	encompasses	temporally related to	oFDseSdfOMP	D	pmoFDseSdfOMP
ends after start of	ends with and starts before	temporally related to	oFDseSdfOMP	F	pmoFDseSdfOMP
ends after start of	immediately preceded by	ends after	oFDseSdfOMP	M	DSOMP
ends after start of	starts during and ends after	ends after start of	oFDseSdfOMP	O	oFDseSdfOMP
ends after start of	strictly preceded by	ends after	oFDseSdfOMP	P	DSOMP
ends after start of	starts with and ends after	ends after start of	oFDseSdfOMP	S	oFDseSdfOMP
ends after start of	happens during	ends after start of	oFDseSdfOMP	d	oFDseSdfOMP
ends after start of	temporally coincides with	ends after start of	oFDseSdfOMP	e	oFDseSdfOMP
ends after start of	ends with and starts after	ends after start of	oFDseSdfOMP	f	oFDseSdfOMP
ends after start of	immediately precedes	temporally related to	oFDseSdfOMP	m	pmoFDseSdfOMP
ends after start of	starts before and ends during	temporally related to	oFDseSdfOMP	o	pmoFDseSdfOMP
ends after start of	strictly precedes	temporally related to	oFDseSdfOMP	p	pmoFDseSdfOMP
ends after start of	starts with and ends before	ends after start of	oFDseSdfOMP	s	oFDseSdfOMP
ends after start of	during which ends	temporally related to	oFDseSdfOMP	DSO	pmoFDseSdfOMP
ends after start of	ends with	temporally related to	oFDseSdfOMP	Fef	pmoFDseSdfOMP
ends after start of	later than	ends after start of	oFDseSdfOMP	OMP	oFDseSdfOMP
ends after start of	starts during	ends after start of	oFDseSdfOMP	dfO	oFDseSdfOMP
ends after start of	during which starts	temporally related to	oFDseSdfOMP	oFD	pmoFDseSdfOMP
ends after start of	ends during	temporally related to	oFDseSdfOMP	osd	pmoFDseSdfOMP
ends after start of	earlier than	temporally related to	oFDseSdfOMP	pmo	pmoFDseSdfOMP
ends after start of	starts with	ends after start of	oFDseSdfOMP	seS	oFDseSdfOMP
ends after start of	ends after	temporally related to	oFDseSdfOMP	DSOMP	pmoFDseSdfOMP
ends after start of	starts during or after	ends after start of	oFDseSdfOMP	dfOMP	oFDseSdfOMP
ends after start of	starts before	temporally related to	oFDseSdfOMP	pmoFD	pmoFDseSdfOMP
ends after start of	ends during or before	temporally related to	oFDseSdfOMP	pmosd	pmoFDseSdfOMP
ends after start of	temporally overlaps	temporally related to	oFDseSdfOMP	oFDseSdfO	pmoFDseSdfOMP
ends after start of	ends after start of	temporally related to	oFDseSdfOMP	oFDseSdfOMP	pmoFDseSdfOMP
ends after start of	starts before end of	temporally related to	oFDseSdfOMP	pmoFDseSdfO	pmoFDseSdfOMP
ends after start of	temporally related to	temporally related to	oFDseSdfOMP	pmoFDseSdfOMP	pmoFDseSdfOMP
starts before end of	encompasses	temporally related to	pmoFDseSdfO	D	pmoFDseSdfOMP
starts before end of	ends with and starts before	starts before end of	pmoFDseSdfO	F	pmoFDseSdfO
starts before end of	immediately preceded by	temporally related to	pmoFDseSdfO	M	pmoFDseSdfOMP
starts before end of	starts during and ends after	temporally related to	pmoFDseSdfO	O	pmoFDseSdfOMP
starts before end of	strictly preceded by	temporally related to	pmoFDseSdfO	P	pmoFDseSdfOMP
starts before end of	starts with and ends after	temporally related to	pmoFDseSdfO	S	pmoFDseSdfOMP
starts before end of	happens during	starts before end of	pmoFDseSdfO	d	pmoFDseSdfO
starts before end of	temporally coincides with	starts before end of	pmoFDseSdfO	e	pmoFDseSdfO
starts before end of	ends with and starts after	starts before end of	pmoFDseSdfO	f	pmoFDseSdfO
starts before end of	immediately precedes	starts before	pmoFDseSdfO	m	pmoFD
starts before end of	starts before and ends during	starts before end of	pmoFDseSdfO	o	pmoFDseSdfO
starts before end of	strictly precedes	starts before	pmoFDseSdfO	p	pmoFD
starts before end of	starts with and ends before	starts before end of	pmoFDseSdfO	s	pmoFDseSdfO
starts before end of	during which ends	temporally related to	pmoFDseSdfO	DSO	pmoFDseSdfOMP
starts before end of	ends with	starts before end of	pmoFDseSdfO	Fef	pmoFDseSdfO
starts before end of	later than	temporally related to	pmoFDseSdfO	OMP	pmoFDseSdfOMP
starts before end of	starts during	temporally related to	pmoFDseSdfO	dfO	pmoFDseSdfOMP
starts before end of	during which starts	temporally related to	pmoFDseSdfO	oFD	pmoFDseSdfOMP
starts before end of	ends during	starts before end of	pmoFDseSdfO	osd	pmoFDseSdfO
starts before end of	earlier than	starts before end of	pmoFDseSdfO	pmo	pmoFDseSdfO
starts before end of	starts with	temporally related to	pmoFDseSdfO	seS	pmoFDseSdfOMP
starts before end of	ends after	temporally related to	pmoFDseSdfO	DSOMP	pmoFDseSdfOMP
starts before end of	starts during or after	temporally related to	pmoFDseSdfO	dfOMP	pmoFDseSdfOMP
starts before end of	starts before	temporally related to	pmoFDseSdfO	pmoFD	pmoFDseSdfOMP
starts before end of	ends during or before	starts before end of	pmoFDseSdfO	pmosd	pmoFDseSdfO
starts before end of	temporally overlaps	temporally related to	pmoFDseSdfO	oFDseSdfO	pmoFDseSdfOMP
starts before end of	ends after start of	temporally related to	pmoFDseSdfO	oFDseSdfOMP	pmoFDseSdfOMP
starts before end of	starts before end of	temporally related to	pmoFDseSdfO	pmoFDseSdfO	pmoFDseSdfOMP
starts before end of	temporally related to	temporally related to	pmoFDseSdfO	pmoFDseSdfOMP	pmoFDseSdfOMP
temporally related to	encompasses	temporally related to	pmoFDseSdfOMP	D	pmoFDseSdfOMP
temporally related to	ends with and starts before	temporally related to	pmoFDseSdfOMP	F	pmoFDseSdfOMP
temporally related to	immediately preceded by	temporally related to	pmoFDseSdfOMP	M	pmoFDseSdfOMP
temporally related to	starts during and ends after	temporally related to	pmoFDseSdfOMP	O	pmoFDseSdfOMP
temporally related to	strictly preceded by	temporally related to	pmoFDseSdfOMP	P	pmoFDseSdfOMP
temporally related to	starts with and ends after	temporally related to	pmoFDseSdfOMP	S	pmoFDseSdfOMP
temporally related to	happens during	temporally related to	pmoFDseSdfOMP	d	pmoFDseSdfOMP
temporally related to	temporally coincides with	temporally related to	pmoFDseSdfOMP	e	pmoFDseSdfOMP
temporally related to	ends with and starts after	temporally related to	pmoFDseSdfOMP	f	pmoFDseSdfOMP
temporally related to	immediately precedes	temporally related to	pmoFDseSdfOMP	m	pmoFDseSdfOMP
temporally related to	starts before and ends during	temporally related to	pmoFDseSdfOMP	o	pmoFDseSdfOMP
temporally related to	strictly precedes	temporally related to	pmoFDseSdfOMP	p	pmoFDseSdfOMP
temporally related to	starts with and ends before	temporally related to	pmoFDseSdfOMP	s	pmoFDseSdfOMP
temporally related to	during which ends	temporally related to	pmoFDseSdfOMP	DSO	pmoFDseSdfOMP
temporally related to	ends with	temporally related to	pmoFDseSdfOMP	Fef	pmoFDseSdfOMP
temporally related to	later than	temporally related to	pmoFDseSdfOMP	OMP	pmoFDseSdfOMP
temporally related to	starts during	temporally related to	pmoFDseSdfOMP	dfO	pmoFDseSdfOMP
